variant,draw,alpha,modality,n,n_mal,coverage,set_size,miss,release,referral
derm_only_for_mixed,5,0.15,derm,195,83,0.958974358974359,3.476923076923077,0.012048192771084338,0.19642857142857142,0.882051282051282
derm_only_for_mixed,5,0.15,clin,16,10,0.75,2.8125,0.1,0.0,0.9375
derm_only_for_mixed,5,0.15,both,100,69,0.9,4.26,0.014492753623188406,0.0,0.99
derm_only_for_mixed,5,0.15,all,311,162,0.9292604501607717,3.694533762057878,0.018518518518518517,0.1476510067114094,0.9196141479099679
averaged,6,0.05,derm,180,94,0.9833333333333333,6.033333333333333,0.0,0.0,1.0
averaged,6,0.05,clin,10,3,0.8,5.8,0.0,0.0,1.0
averaged,6,0.05,both,83,45,0.963855421686747,6.120481927710843,0.0,0.0,1.0
averaged,6,0.05,all,273,142,0.9706959706959707,6.051282051282051,0.0,0.0,1.0
derm_only_for_mixed,6,0.05,derm,180,94,0.9555555555555556,4.461111111111111,0.0,0.011627906976744186,0.9944444444444445
derm_only_for_mixed,6,0.05,clin,10,3,0.8,3.7,0.0,0.0,1.0
derm_only_for_mixed,6,0.05,both,83,45,0.963855421686747,5.0120481927710845,0.0,0.0,1.0
derm_only_for_mixed,6,0.05,all,273,142,0.9523809523809523,4.6007326007326,0.0,0.007633587786259542,0.9963369963369964
averaged,6,0.1,derm,180,94,0.9333333333333333,4.027777777777778,0.0,0.06976744186046512,0.9666666666666667
averaged,6,0.1,clin,10,3,0.8,3.6,0.0,0.0,1.0
averaged,6,0.1,both,83,45,0.9036144578313253,4.240963855421687,0.0,0.0,1.0
averaged,6,0.1,all,273,142,0.9194139194139194,4.076923076923077,0.0,0.04580152671755725,0.978021978021978
derm_only_for_mixed,6,0.1,derm,180,94,0.8888888888888888,3.6333333333333333,0.010638297872340425,0.08139534883720931,0.9555555555555556
derm_only_for_mixed,6,0.1,clin,10,3,0.8,3.4,0.0,0.0,1.0
derm_only_for_mixed,6,0.1,both,83,45,0.891566265060241,4.240963855421687,0.0,0.02631578947368421,0.9879518072289156
derm_only_for_mixed,6,0.1,all,273,142,0.8864468864468864,3.8095238095238093,0.007042253521126761,0.061068702290076333,0.967032967032967
averaged,6,0.15,derm,180,94,0.8555555555555555,3.361111111111111,0.010638297872340425,0.09302325581395349,0.95
averaged,6,0.15,clin,10,3,0.8,2.9,0.3333333333333333,0.0,0.9
averaged,6,0.15,both,83,45,0.8795180722891566,3.602409638554217,0.022222222222222223,0.0,0.9879518072289156
averaged,6,0.15,all,273,142,0.8608058608058609,3.4175824175824174,0.02112676056338028,0.061068702290076333,0.9597069597069597
derm_only_for_mixed,6,0.15,derm,180,94,0.8388888888888889,2.8777777777777778,0.02127659574468085,0.16279069767441862,0.9111111111111111
derm_only_for_mixed,6,0.15,clin,10,3,0.6,2.5,0.0,0.0,1.0
derm_only_for_mixed,6,0.15,both,83,45,0.7710843373493976,3.1686746987951806,0.0,0.05263157894736842,0.9759036144578314
derm_only_for_mixed,6,0.15,all,273,142,0.8095238095238095,2.9523809523809526,0.014084507042253521,0.12213740458015267,0.9340659340659341
averaged,7,0.05,derm,293,77,0.9863481228668942,6.047781569965871,0.0,0.0,1.0
averaged,7,0.05,clin,15,12,0.9333333333333333,6.066666666666666,0.0,0.0,1.0
averaged,7,0.05,both,76,47,0.9473684210526315,6.657894736842105,0.0,0.0,1.0
averaged,7,0.05,all,384,136,0.9765625,6.169270833333333,0.0,0.0,1.0
derm_only_for_mixed,7,0.05,derm,293,77,0.9761092150170648,4.952218430034129,0.0,0.0,1.0
derm_only_for_mixed,7,0.05,clin,15,12,0.9333333333333333,4.8,0.0,0.0,1.0
