cohort,draw,alpha,group,n_benign,benign_coverage,benign_referral,benign_set_size
pad,15,0.1,4,4,1.0,1.0,2.5
pad,15,0.15,1,2,0.0,1.0,2.5
pad,15,0.15,2,9,0.7777777777777778,0.8888888888888888,2.111111111111111
pad,15,0.15,3,5,0.8,1.0,2.6
pad,15,0.15,4,4,1.0,0.75,2.25
hiba,16,0.05,1,5,1.0,1.0,6.0
hiba,16,0.05,2,126,0.9523809523809523,1.0,4.761904761904762
hiba,16,0.05,3,83,1.0,1.0,5.397590361445783
hiba,16,0.05,4,2,1.0,1.0,7.0
hiba,16,0.1,1,5,1.0,1.0,5.2
hiba,16,0.1,2,126,0.8968253968253969,0.9126984126984127,3.0952380952380953
hiba,16,0.1,3,83,1.0,0.927710843373494,3.180722891566265
hiba,16,0.1,4,2,1.0,1.0,6.5
hiba,16,0.15,1,5,1.0,1.0,4.0
hiba,16,0.15,2,126,0.8888888888888888,0.8968253968253969,2.7301587301587302
hiba,16,0.15,3,83,0.9879518072289156,0.7349397590361446,2.5060240963855422
hiba,16,0.15,4,2,1.0,1.0,6.0
pad,16,0.05,1,4,1.0,1.0,6.0
pad,16,0.05,2,11,1.0,1.0,6.0
pad,16,0.05,3,8,1.0,1.0,5.75
pad,16,0.05,4,3,1.0,1.0,8.0
pad,16,0.1,1,4,1.0,1.0,3.5
pad,16,0.1,2,11,0.9090909090909091,1.0,3.272727272727273
pad,16,0.1,3,8,1.0,1.0,3.375
pad,16,0.1,4,3,1.0,1.0,6.0
pad,16,0.15,1,4,0.75,1.0,2.75
pad,16,0.15,2,11,0.5454545454545454,1.0,2.4545454545454546
pad,16,0.15,3,8,0.875,1.0,2.875
pad,16,0.15,4,3,1.0,1.0,4.0
hiba,17,0.05,1,15,1.0,1.0,5.6
hiba,17,0.05,2,151,0.9933774834437086,1.0,5.80794701986755
hiba,17,0.05,3,136,0.9926470588235294,1.0,5.426470588235294
hiba,17,0.1,1,15,1.0,1.0,4.133333333333334
hiba,17,0.1,2,151,0.9867549668874173,1.0,4.423841059602649
hiba,17,0.1,3,136,0.9926470588235294,0.9926470588235294,3.875
hiba,17,0.15,1,15,1.0,1.0,3.533333333333333
hiba,17,0.15,2,151,0.9602649006622517,0.9536423841059603,3.4900662251655628
hiba,17,0.15,3,136,0.9926470588235294,0.8823529411764706,2.860294117647059
pad,17,0.05,1,3,1.0,1.0,3.6666666666666665
pad,17,0.05,2,8,1.0,1.0,4.375
pad,17,0.05,3,5,1.0,1.0,3.8
pad,17,0.05,4,5,1.0,1.0,6.0
pad,17,0.05,6,1,1.0,1.0,6.0
pad,17,0.1,1,3,1.0,1.0,3.6666666666666665
pad,17,0.1,2,8,1.0,1.0,4.125
pad,17,0.1,3,5,1.0,1.0,3.8
pad,17,0.1,4,5,1.0,1.0,4.0
pad,17,0.1,6,1,1.0,1.0,6.0
pad,17,0.15,1,3,0.6666666666666666,1.0,3.0
pad,17,0.15,2,8,0.875,0.875,3.25
pad,17,0.15,3,5,0.8,1.0,3.4
pad,17,0.15,4,5,1.0,1.0,3.6
pad,17,0.15,6,1,1.0,1.0,6.0
hiba,18,0.05,1,8,0.875,1.0,5.875
hiba,18,0.05,2,117,0.9743589743589743,1.0,5.316239316239316
