cohort,draw,cls,n,f1,auc
hiba,10,MEL,43,0.4470588235294118,0.8131326949384405
hiba,10,NV,104,0.6804123711340206,0.8476903251387787
hiba,10,BCC,62,0.6101694915254238,0.8747266265718973
hiba,10,AK,14,0.10526315789473684,0.7200704225352113
hiba,10,BKL,18,0.2,0.6607142857142858
hiba,10,DF,15,0.2857142857142857,0.7418138987043581
hiba,10,VASC,15,0.42105263157894735,0.6518256772673734
hiba,10,SCC,27,0.23529411764705882,0.7545442121087877
pad,10,MEL,10,0.26666666666666666,0.9409774436090226
pad,10,NV,5,0.36363636363636365,0.8656826568265683
pad,10,BCC,151,0.6617647058823529,0.7609801324503311
pad,10,AK,65,0.567741935483871,0.814473204520598
pad,10,BKL,7,0.5,0.9739776951672862
pad,10,DF,0,,
pad,10,VASC,0,,
pad,10,SCC,38,0.22784810126582278,0.6737063246351171
hiba,11,MEL,48,0.5882352941176471,0.853936887254902
hiba,11,NV,127,0.7368421052631579,0.9125698665905103
hiba,11,BCC,74,0.576,0.8663480553724456
hiba,11,AK,11,0.20512820512820512,0.7749338040600177
hiba,11,BKL,11,0.16,0.6934392468373051
hiba,11,DF,16,0.36363636363636365,0.7896792763157895
hiba,11,VASC,8,0.5454545454545454,0.9074519230769231
hiba,11,SCC,25,0.14545454545454545,0.7772203389830508
pad,11,MEL,4,0.4,0.9919642857142856
pad,11,NV,6,0.42857142857142855,0.9514388489208633
pad,11,BCC,154,0.6714801444043321,0.7615134865134865
pad,11,AK,67,0.6052631578947368,0.8484077309306004
pad,11,BKL,10,0.4666666666666667,0.9375912408759125
pad,11,DF,0,,
pad,11,VASC,0,,
pad,11,SCC,43,0.26666666666666666,0.6639486635144264
hiba,12,MEL,46,0.5591397849462365,0.8702088100686499
hiba,12,NV,171,0.8200589970501475,0.9090136887843444
hiba,12,BCC,46,0.5977011494252874,0.9096109839816934
hiba,12,AK,18,0.25806451612903225,0.822289156626506
hiba,12,BKL,20,0.30303030303030304,0.795
hiba,12,DF,12,0.125,0.7189349112426036
hiba,12,VASC,15,0.6363636363636364,0.8298507462686567
hiba,12,SCC,22,0.2608695652173913,0.8569844789356984
pad,12,MEL,10,0.42857142857142855,0.88671875
pad,12,NV,7,0.7142857142857143,0.9784886927744071
pad,12,BCC,154,0.6996466431095406,0.746260435992579
pad,12,AK,59,0.5652173913043478,0.7975108490952264
pad,12,BKL,2,0.13333333333333333,0.9659090909090908
pad,12,DF,0,,
pad,12,VASC,0,,
pad,12,SCC,34,0.2647058823529412,0.6714629817444219
